Titel,Omschrijving,Datum,Starttijd,Eindtijd,Prijs
Mystic Rhythms,"Oracle Sound brengt spirituele trance en ambient muziek in een setting vol kaarslicht, geometrische visuals en meditatieve dans. 'Mystic Rhythms' is een ritueel in geluid.",2025-12-02,21:00,01:00,48
Indie Iceberg,"The Glaciers zijn een indie rockband die optreedt in een ijzige setting met visuals van gletsjers en poollandschappen. 'Indie Iceberg' is een koel maar krachtig concert.",2025-12-04,20:00,23:00,37
Jungle Jazz,"TropicTone is een jazzband die tropische ritmes en visuals combineert. 'Jungle Jazz' is een zwoele avond vol improvisatie en exotische flair.",2025-12-06,20:00,23:00,40
Sonic Bloom,"Petal Pulse brengt elektronische muziek in een decor van bloemenprojecties en geurinstallaties. 'Sonic Bloom' is een multisensoriële ervaring.",2025-12-08,21:00,00:30,43
Galactic Opera,"Stararia is een operagezelschap dat klassieke zang combineert met sci-fi visuals. 'Galactic Opera' is een interstellaire reis door aria's en sterren.",2025-12-10,19:30,22:00,56
Chillwave Cathedral,"Echo Temple speelt chillwave in een oude kerk, waarbij lichtstralen door glas-in-loodramen dansen op de muziek. 'Chillwave Cathedral' is een spirituele soundscape.",2025-12-12,20:00,23:00,45
Bass & Blizzard,"Frostbyte is een dubstep-act die optreedt in een sneeuwthema met koude rook, ijsprojecties en bevroren beats. 'Bass & Blizzard' is een ijskoude rave.",2025-12-14,22:00,02:00,39
Acoustic Aurora,"Northern Strings is een akoestisch ensemble dat speelt onder een lichtshow geïnspireerd op het poollicht. 'Acoustic Aurora' is een intieme en magische avond.",2025-12-16,19:00,21:30,41
Funkadelic Forest,"Groove Grove is een funkband die optreedt in een bosdecor met lichtgevende bomen en dansende dieren. 'Funkadelic Forest' is een wild feest in het groen.",2025-12-18,20:00,23:00,44
Crystal Beats,"Prismatik is een EDM-act die kristalvormige visuals en laserlicht combineert met pulserende beats. 'Crystal Beats' is een glinsterende dansnacht.",2025-12-20,21:00,01:00,47
Retro Rave,"Timewarp DJs brengen een 90s rave revival met glowsticks, oldschool beats en retro visuals. 'Retro Rave' is een feest van herkenning en energie.",2025-12-22,22:00,03:00,35
Winter Waltz,"Snowfall Ensemble speelt klassieke walsen in een winterdecor met sneeuwmachines en ijsbeelden. 'Winter Waltz' is een elegante dansavond.",2025-12-24,19:00,21:30,52
Midnight Masquerade,"Masked Melody organiseert een gemaskerd bal met live muziek, theatrale kostuums en mysterieuze sfeer. 'Midnight Masquerade' is een betoverende nacht.",2025-12-26,20:00,00:00,50
Sonic Solstice,"Equinox brengt ambient trance op de winterzonnewende met visuals van sterren, planeten en seizoensveranderingen. 'Sonic Solstice' is een kosmische viering.",2025-12-28,21:00,01:00,46
Fire & Ice Festival,"PyroGlace combineert rock en techno met vuurshows en ijsbeelden. 'Fire & Ice Festival' is een spectaculair contrast van elementen.",2025-12-30,20:00,02:00,58
New Year’s Pulse,"DJ Nova organiseert een countdown rave met lasershow, confetti en een knallende line-up. 'New Year’s Pulse' is hét feest om het jaar mee af te sluiten.",2025-12-31,22:00,04:00,65
Aurora Afterparty,"Chill Collective speelt ambient sets op nieuwjaarsdag in een rustgevende setting met zachte visuals. 'Aurora Afterparty' is een ontspannen begin van het jaar.",2026-01-01,18:00,22:00,30
Electro Elegance,"Velvet Circuit brengt stijlvolle elektronische muziek in een art deco setting met fluwelen visuals en elegante beats. 'Electro Elegance' is een chic dansfeest.",2026-01-03,20:00,23:00,42
Cosmic Choir,"Stellar Voices is een koor dat optreedt in een planetarium met galactische visuals en hemelse harmonieën. 'Cosmic Choir' is een ruimtelijke zangervaring.",2026-01-05,19:30,21:30,39
Synth & Strings,"Harmonia combineert synthesizers met strijkers in een concert dat klassieke en moderne klanken samenbrengt. 'Synth & Strings' is een harmonieuze fusie van werelden.",2026-01-07,20:00,23:00,48
